x,y,z,speed,acceleration,curvature,curvature_change_rate,time,theta,gear,s,throttle,brake,steering
586385.858607, 4140674.7357, -28.3670201628, 0.216666668653, 0.887545286694, 0.0227670812611, -0.0177396744278, 1496957374.6140, 2.83470068837, 1, 0.00216666668653, 22.0157165527, 13.6934461594, 12.6382980347
586385.855147, 4140674.73686, -28.3671755996, 0.216666668653, 0.913474615633, 0.0227670812611, 0.0, 1496957374.6246, 2.83481834381, 1, 0.00433333337307, 22.0157165527, 13.6751356125, 12.6382980347
586385.851608, 4140674.73803, -28.367333333, 0.252777785063, 0.884692224513, 0.0226902109692, -0.0304102244818, 1496957374.6342, 2.83493944838, 1, 0.0068611112237, 22.1026935577, 13.6751356125, 12.5957450867
586385.847987, 4140674.73924, -28.3675015001, 0.252777785063, 0.874161013299, 0.0226902109692, 0.0, 1496957374.6438, 2.83501097239, 1, 0.00938888907433, 22.1026935577, 13.7239646912, 12.5957450867
586385.84427, 4140674.74047, -28.3676676499, 0.283333331347, 0.934226919562, 0.0226517749143, -0.0135656665111, 1496957374.6543, 2.83511769878, 1, 0.0122222223878, 22.1026935577, 13.7239646912, 12.574467659
586385.840443, 4140674.74175, -28.3678200571, 0.283333331347, 1.03466084553, 0.0226517749143, 0.0, 1496957374.6639, 2.83524237155, 1, 0.0150555557013, 22.1026935577, 13.6507205963, 12.574467659
586385.836527, 4140674.74305, -28.3679780131, 0.31111112237, 1.02275571276, 0.0225749078732, -0.0247072623403, 1496957374.6745, 2.83535456498, 1, 0.018166666925, 22.114900589, 13.6507205963, 12.531914711
586385.832523, 4140674.74437, -28.3681540545, 0.31111112237, 0.965700419625, 0.0225749078732, 0.0, 1496957374.6841, 2.83546712465, 1, 0.0212777781487, 22.114900589, 13.6537723541, 12.531914711
586385.828455, 4140674.74571, -28.368321253, 0.338888883591, 0.836593771705, 0.0224980429898, -0.0226814413375, 1496957374.6936, 2.83562021513, 1, 0.0246666669846, 22.163728714, 13.6537723541, 12.489361763
586385.824334, 4140674.74708, -28.3684622813, 0.338888883591, 0.697852282292, 0.0224980429898, 0.0, 1496957374.7041, 2.8357196816, 1, 0.0280555558205, 22.163728714, 13.6751356125, 12.489361763
