61.026,21.927,21.027,80.212,9.928,24.438,0.03204,12.959,11.444,29.163,58.151,18.749,0.082536,19.679,14.928,10.146
59.801,21.719,20.863,79.693,9.8427,24.251,0.12816,12.918,11.678,29.076,57.731,18.629,0.33014,19.611,14.86,10.058
58.593,21.513,20.7,79.176,9.76,24.065,0.28836,12.876,11.911,28.989,57.314,18.511,0.74282,19.543,14.793,9.9699
57.401,21.307,20.538,78.661,9.6798,23.88,0.51263,12.834,12.142,28.901,56.899,18.394,1.3206,19.475,14.726,9.8832
56.225,21.103,20.377,78.147,9.6022,23.697,0.80099,12.793,12.373,28.813,56.486,18.278,2.0634,19.408,14.66,9.7976
55.065,20.901,20.217,77.635,9.5271,23.514,1.1534,12.752,12.602,28.725,56.075,18.163,2.9713,19.34,14.594,9.7129
53.922,20.7,20.058,77.125,9.4546,23.333,1.5699,12.711,12.83,28.636,55.666,18.049,4.0443,19.273,14.529,9.6291
52.795,20.5,19.9,76.617,9.3846,23.152,2.0505,12.67,13.057,28.546,55.259,17.936,5.2823,19.206,14.463,9.5464
51.684,20.301,19.744,76.111,9.3172,22.973,2.5952,12.629,13.283,28.457,54.853,17.825,6.6854,19.14,14.399,9.4647
50.59,20.104,19.588,75.606,9.2524,22.795,3.204,12.589,13.508,28.366,54.45,17.714,8.2536,19.073,14.334,9.3839
49.512,19.908,19.433,75.103,9.1901,22.617,8.8577,12.548,13.732,28.276,54.05,17.605,9.9868,19.007,14.27,9.3041
48.45,19.713,19.28,74.602,9.1304,22.441,8.8428,12.508,13.955,28.184,53.651,17.496,11.885,18.94,14.207,9.2253
47.405,19.52,19.127,74.103,9.0732,22.266,8.8281,12.468,14.177,28.093,53.254,17.389,13.949,18.874,14.144,9.1475
46.376,19.328,18.976,73.605,9.0186,22.092,8.8137,12.428,14.397,28.001,52.859,17.283,16.177,18.809,14.081,9.0707
45.363,19.137,18.825,73.109,8.9665,21.919,8.7994,12.388,14.617,27.909,52.466,17.178,18.571,18.743,14.019,8.9949
44.367,18.948,18.676,72.615,8.917,21.747,8.7854,12.348,14.835,27.816,52.075,17.074,21.129,18.678,13.957,8.92
43.386,18.76,18.527,72.123,8.87,21.576,8.7716,12.309,15.053,27.722,51.687,16.971,22.216,18.612,13.895,8.8461
42.423,18.573,18.38,71.632,8.8256,21.406,8.758,12.269,15.269,27.629,51.3,16.87,22.251,18.548,13.834,8.7733
41.475,18.388,18.234,71.143,8.7838,21.238,8.7446,12.23,15.484,27.534,50.915,16.769,22.284,18.483,13.773,8.7014
40.544,18.204,18.089,70.656,8.7445,21.07,8.7314,12.191,15.698,27.44,50.532,16.669,22.315,18.418,13.713,8.6305
39.629,18.022,17.944,70.171,8.7077,20.903,8.7185,12.152,15.911,27.345,50.152,16.571,22.342,18.354,13.653,8.5605
38.73,17.84,17.801,69.688,8.6803,20.738,8.7057,12.113,16.123,27.249,49.773,16.474,22.367,18.289,13.594,8.4916
37.848,17.66,17.659,69.206,8.6403,20.573,8.6931,12.075,16.334,27.153,49.397,16.378,22.39,18.225,13.535,8.4236
36.982,17.482,17.518,68.726,8.6018,20.41,8.6807,12.036,16.543,27.057,49.022,16.29,22.409,18.162,13.476,8.3567
36.132,17.304,17.378,68.248,8.5648,20.248,8.6685,11.998,16.752,26.96,48.65,16.188,22.426,18.098,13.417,8.2907
35.298,17.128,17.24,67.772,8.5293,20.086,8.6564,11.96,16.959,26.863,48.279,16.087,22.441,18.035,13.359,8.2257
34.481,16.954,17.102,67.297,8.4953,19.926,8.6446,11.922,17.166,26.765,47.911,15.988,22.453,17.971,13.302,8.1617
33.68,16.78,16.965,66.824,8.4627,19.767,8.6329,11.884,17.371,26.667,47.544,15.889,22.462,17.908,13.245,8.0986
32.896,16.608,16.829,66.353,8.4315,19.609,8.6215,11.846,17.575,26.569,47.18,15.792,22.469,17.846,13.188,8.0366
32.128,16.438,16.695,65.884,8.4017,19.452,8.6102,11.808,17.778,26.47,46.818,15.697,22.474,17.783,13.132,7.9755
31.376,16.268,16.561,65.416,8.3732,19.296,8.599,11.771,17.98,26.371,46.457,15.603,22.476,17.72,13.076,7.9154
30.64,16.1,16.428,64.95,8.3461,19.141,8.5881,11.734,18.181,26.271,46.099,15.51,22.476,17.658,13.02,7.8564
29.921,15.934,16.297,64.486,8.3202,18.987,8.5773,11.696,18.381,26.17,45.743,15.419,22.473,17.596,12.965,7.7983
29.218,15.768,16.166,64.024,8.2957,18.835,8.5667,11.659,18.58,26.07,45.389,15.329,22.468,17.534,12.91,7.7411
28.531,15.604,16.037,63.564,8.2723,18.683,8.5562,11.622,18.777,25.969,45.037,15.241,22.461,17.473,12.856,7.685
27.861,15.442,15.909,63.105,8.2502,18.532,8.5459,11.586,18.974,25.867,44.687,15.154,22.451,17.411,12.802,7.6298
27.207,15.28,15.781,62.648,8.2293,18.383,8.5358,11.549,19.161,25.765,44.339,15.069,22.44,17.35,12.748,7.5757
26.569,15.12,15.655,62.193,8.2095,18.234,8.5258,11.513,19.365,25.663,43.992,14.986,22.426,17.289,12.695,7.5225
25.948,14.962,15.53,61.74,8.1909,18.087,8.5159,11.477,19.569,25.56,43.648,14.904,22.409,17.228,12.642,7.4703
25.342,14.804,15.406,61.288,8.1734,17.94,8.5063,11.44,19.772,25.457,43.306,14.824,22.391,17.167,12.59,7.4191
24.753,14.648,15.283,60.838,8.157,17.795,8.4967,11.404,19.974,25.353,42.967,14.746,22.371,17.107,12.538,7.3689
24.181,14.493,15.161,60.39,8.1416,17.651,8.4873,11.369,20.175,25.249,42.629,14.669,22.348,17.047,12.487,7.3196
23.625,14.34,15.04,59.944,8.1272,17.508,8.4781,11.333,20.375,25.144,42.293,14.595,22.323,16.987,12.435,7.2714
23.085,14.188,14.92,59.499,8.1138,17.366,8.469,11.298,20.574,25.039,41.959,14.522,22.297,16.927,12.385,7.2241
22.561,14.037,14.801,59.056,8.1015,17.225,8.46,11.262,20.771,24.934,41.627,14.451,22.268,16.867,12.334,7.1778
22.024,13.888,14.683,58.615,8.09,17.085,8.4511,11.227,20.968,24.828,41.297,14.382,22.237,16.808,12.284,7.1325
