Channel,Elevation,Azimuth
1,14.436,3.257
2,13.535,3.263
3,13.081786,1.091414
4,12.624,3.268
5,12.165246,1.092504
6,11.702,3.273
7,11.238522,1.093621
8,10.771,3.278
9,10.305007,1.094766
10,9.83,3.283
11,9.356123,1.095941
12,8.88,3.288
13,8.401321,1.097146
14,7.921,3.291
15,7.43808,1.098384
16,6.952581,-1.101114
17,6.466905,1.099655
18,5.977753,-1.103649
19,5.487,-3.306
20,4.995801,-1.106118
21,4.501,-3.311
22,4.007293,-1.108519
23,3.509,-3.318
24,3.012822,-1.110852
25,2.512,-3.324
26,2.013,-1.113115
27,1.885,7.72
28,1.761,5.535
29,1.637,3.325
30,1.511,-3.33
31,1.385875,1.10673
32,1.2582,-5.538034933
33,1.13,-7.726107248
34,1.008459,-1.115309
35,0.88,7.731
36,0.756,5.543
37,0.63,3.329
38,0.505,-3.336
39,0.378591,1.108227
40,0.251,-5.546813133
41,0.124,-7.738214933
42,-0.00015,-1.117431
43,-0.129,7.743
44,-0.2541,5.550783
45,-0.38,3.335
46,-0.5061259,-3.341759
47,-0.63235,1.109762
48,-0.7597898,-5.555361
49,-0.8872418,-7.750039
50,-1.012168,-1.119482
51,-1.141,7.757
52,-1.2662,5.559905
53,-1.393,3.34
54,-1.519337,-3.347338
55,-1.646275,1.111338
56,-1.773301,-5.564415
57,-1.900587,-7.762486
58,-2.026912,-1.12146
59,-2.155,7.768
60,-2.2815,5.568891
61,-2.409,3.345
62,-2.534932,-3.352812
63,-2.662501,1.112953
64,-2.789024,-5.573332
65,-2.916055,-7.774765
66,-3.043698,-1.123366
67,-3.172,7.78
68,-3.299,5.577739
69,-3.425,3.351
70,-3.552222,-3.358181
71,-3.680335,1.114609
72,-3.806265,-5.582111
73,-3.932954,-7.786874
74,-4.06183,-1.125199
75,-4.19,7.792
76,-4.318,5.586449
77,-4.444,3.356
78,-4.570508,-3.363443
79,-4.699079,1.116305
80,-4.824327,-5.590751
81,-4.950584,-7.798811
82,-5.080608,-1.126958
83,-5.209,7.804
84,-5.336,5.595019
85,-5.463,3.36
86,-5.589088,-3.368599
87,-5.718031,1.118042
88,-5.842508,-5.599251
89,-5.968246,-7.810576
90,-6.099661,-1.128643
91,-6.607262,-3.373647
92,-7.117295,-1.130255
93,-7.624327,-3.378587
94,-8.133802,-1.131792
95,-8.639587,-3.383419
96,-9.149,3.381
97,-9.652353,-3.388143
98,-10.16,3.386
99,-10.665443,1.127077
100,-11.17,3.39
101,-11.671568,1.129045
102,-12.174,3.395
103,-12.673194,1.131048
104,-13.173,3.401
105,-13.669682,1.133088
106,-14.166,3.406
107,-14.660411,1.135163
108,-15.154,3.41
109,-15.644783,1.137272
110,-16.135,3.416
111,-16.622221,1.139412
112,-17.106088,-1.142319
113,-17.592171,1.141584
114,-18.071976,-1.143128
115,-18.54765,-3.425708
116,-19.029597,-1.143867
117,-19.50071,-3.429329
118,-19.978461,-1.144538
119,-20.44479,-3.432841
120,-20.918108,-1.14514
121,-21.37943,-3.436242
122,-21.848107,-1.145675
123,-22.30422,-3.439533
124,-22.768055,-1.146145
125,-23.21878,-3.442714
126,-23.677577,-1.146549
127,-24.12274,-3.445786
128,-25.01577,-3.448749
