2.85,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1
operation mode,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3
angle state,0,0,1,1,2,2,3,3,0,0,1,1,0,0,1,1
1,51951,52716,51951,51951,51951,52716,51951,51951,51951,52716,51951,51951,51951,52716,51951,51951
2,48871,48871,48871,49636,48871,48871,48871,49636,48871,48871,48871,49636,48871,48871,48871,49636
3,38091,38091,38091,38856,38091,38091,38091,38856,38091,38091,38091,38856,38091,38091,38091,38856
4,45791,45791,45791,46556,45791,45791,45791,46556,45791,45791,45791,46556,45791,45791,45791,46556
5,44251,45016,44251,44251,44251,45016,44251,44251,44251,45016,44251,44251,44251,45016,44251,44251
6,39631,40396,39631,40396,39631,40396,39631,40396,39631,40396,39631,40396,39631,40396,39631,40396
7,42711,42711,42711,42711,42711,42711,42711,42711,42711,42711,42711,42711,42711,42711,42711,42711
8,13946,13946,13946,13946,13946,13946,13946,13946,13946,13946,13946,13946,13946,13946,13946,13946
9,776,776,776,776,776,776,776,776,776,776,776,776,776,776,776,776
10,31506,31506,31506,31506,31506,31506,31506,31506,31506,31506,31506,31506,31506,31506,31506,31506
11,18336,18336,18336,18336,18336,18336,18336,18336,18336,18336,18336,18336,18336,18336,18336,18336
12,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971
13,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531
14,33701,33701,33701,33701,33701,33701,33701,33701,33701,33701,33701,33701,33701,33701,33701,33701
15,5166,5166,5166,5166,5166,5166,5166,5166,5166,5166,5166,5166,5166,5166,5166,5166
16,24921,24921,24921,24921,24921,24921,24921,24921,24921,24921,24921,24921,24921,24921,24921,24921
17,35896,35896,35896,35896,35896,35896,35896,35896,35896,35896,35896,35896,35896,35896,35896,35896
18,7361,7361,7361,7361,7361,7361,7361,7361,7361,7361,7361,7361,7361,7361,7361,7361
19,22726,22726,22726,22726,22726,22726,22726,22726,22726,22726,22726,22726,22726,22726,22726,22726
20,16141,16141,16141,16141,16141,16141,16141,16141,16141,16141,16141,16141,16141,16141,16141,16141
21,9556,9556,9556,9556,9556,9556,9556,9556,9556,9556,9556,9556,9556,9556,9556,9556
22,29311,29311,29311,29311,29311,29311,29311,29311,29311,29311,29311,29311,29311,29311,29311,29311
23,11751,11751,11751,11751,11751,11751,11751,11751,11751,11751,11751,11751,11751,11751,11751,11751
24,41171,41936,41171,41936,41171,41936,41171,41936,41171,41936,41171,41936,41171,41936,41171,41936
25,44251,44251,44251,44251,44251,44251,44251,44251,44251,44251,44251,44251,44251,44251,44251,44251
26,50411,50411,50411,50411,50411,50411,50411,50411,50411,50411,50411,50411,50411,50411,50411,50411
27,42711,43476,42711,43476,42711,43476,42711,43476,42711,43476,42711,43476,42711,43476,42711,43476
28,45791,45791,45791,45791,45791,45791,45791,45791,45791,45791,45791,45791,45791,45791,45791,45791
29,39631,39631,39631,39631,39631,39631,39631,39631,39631,39631,39631,39631,39631,39631,39631,39631
30,45791,46556,45791,45791,45791,46556,45791,45791,45791,46556,45791,45791,45791,46556,45791,45791
31,47331,47331,47331,48096,47331,47331,47331,48096,47331,47331,47331,48096,47331,47331,47331,48096
32,48871,49636,48871,48871,48871,49636,48871,48871,48871,49636,48871,48871,48871,49636,48871,48871
33,50411,50411,50411,51176,50411,50411,50411,51176,50411,50411,50411,51176,50411,50411,50411,51176
34,51951,51951,51951,52716,51951,51951,51951,52716,51951,51951,51951,52716,51951,51951,51951,52716
35,53491,53491,53491,54256,53491,53491,53491,54256,53491,53491,53491,54256,53491,53491,53491,54256
36,44251,44251,44251,45016,44251,44251,44251,45016,44251,44251,44251,45016,44251,44251,44251,45016
37,50411,51176,50411,50411,50411,51176,50411,50411,50411,51176,50411,50411,50411,51176,50411,50411
38,47331,48096,47331,47331,47331,48096,47331,47331,47331,48096,47331,47331,47331,48096,47331,47331
39,38091,38856,38091,38091,38091,38856,38091,38091,38091,38856,38091,38091,38091,38856,38091,38091
40,53491,54256,53491,53491,53491,54256,53491,53491,53491,54256,53491,53491,53491,54256,53491,53491
